id,risorsa,keywords,categoria
275,"The Landau-Ginzburg Approach : Scattering and fluctuations, correlation functions and susceptibilities, comparison to experiments","correlation ,correlation functions ,correlation functions and susceptibilities ,fluctuations ,functions ,physics ,scattering ,statistical",Probability and Statistics
276,"The Landau-Ginzburg Approach : Gaussian integrals, fluctuation corrections to the saddle point, the Ginzburg criterion","gaussian ,physics ,statistical",Probability and Statistics
277,"The Scaling Hypothesis The homogeneity assumption, divergence of the correlation length, critical correlation functions and self-similarity","correlation ,correlation functions ,functions ,physics ,statistical",Probability and Statistics
278,"The Scaling Hypothesis : The renormalization group (conceptual), the renormalization group (formal)","physics ,renormalization ,statistical",Probability and Statistics
279,"The Scaling Hypothesis : The Gaussian model (direct solution), the Gaussian model (renormalization group)","gaussian ,model ,physics ,renormalization ,statistical",Probability and Statistics
280,"Perturbative Renormalization Group Expectation values in the Gaussian model, expectation values in perturbation theory, diagrammatic representation of perturbation theory, susceptibility","expectation ,gaussian ,model ,perturbation theory ,physics ,renormalization ,representation ,statistical ,theory",Probability and Statistics
281,Perturbative Renormalization Group : Perturbative RG (first order),"first ,physics ,renormalization ,statistical",Probability and Statistics
282,"Perturbative Renormalization Group : Perturbative RG (second order), the e-expansion","physics ,renormalization ,second ,statistical",Probability and Statistics
283,"Perturbative Renormalization Group : Irrelevance of other interactions, comments on the e-expansion","physics ,renormalization ,statistical",Probability and Statistics
284,"Position Space Renormalization Group Lattice models, exact treatment in d=1","models ,physics ,renormalization ,statistical",Probability and Statistics
285,"Position Space Renormalization Group : The Niemeijer-van Leeuwen cumulant approximation, the Migdal-Kadanoff bond moving approximation","approximation ,physics ,renormalization ,statistical",Probability and Statistics
286,"Series Expansions Low-temperature expansions, high-temperature expansions, exact solution of the one dimensional Ising model","model ,physics ,statistical",Probability and Statistics
287,"Series Expansions : Self-duality in the two dimensional Ising model, dual of the three dimensional Ising model","model ,physics ,statistical",Probability and Statistics
288,Series Expansions : Summing over phantom loops,"loops ,physics ,statistical",Probability and Statistics
289,Series Expansions : Exact free energy of the square lattice Ising model,"energy ,free energy ,model ,physics ,statistical",Probability and Statistics
290,Series Expansions : Critical behavior of the two dimensional Ising model,"behavior ,model ,physics ,statistical",Probability and Statistics
291,Continuous Spins at Low Temperatures The non-linear o-model,"linear ,model ,physics ,statistical",Probability and Statistics
292,Continuous Spins at Low Temperatures : Topological defects in the XY model,"model ,physics ,statistical",Probability and Statistics
293,Continuous Spins at Low Temperatures : Renormalization group for the coulomb gas,"physics ,renormalization ,statistical",Probability and Statistics
294,"Continuous Spins at Low Temperatures : Two dimensional solids, two dimensional melting","physics ,statistical",Probability and Statistics
295,Dissipative Dynamics Brownian motion of a particle,"brownian motion ,physics ,statistical",Probability and Statistics
296,"Continuous Spins at Low Temperatures : Equilibrium dynamics of a field, dynamics of a conserved field","equilibrium ,physics ,statistical",Probability and Statistics
297,"Continuous Spins at Low Temperatures : Generic scale invariance in equilibrium systems, non-equilibrium dynamics of open systems, dynamics of a growing surface","equilibrium ,invariance ,physics ,statistical",Probability and Statistics
298,Visualization,"analysis ,data ,inference ,statistics ,visualization",Probability and Statistics
299,Resampling,"analysis ,data ,inference ,statistics ,visualization",Probability and Statistics
300,Distributions,"analysis ,data ,distributions ,inference ,statistics ,visualization",Probability and Statistics
301,Linear Model,"analysis ,data ,inference ,linear ,model ,statistics ,visualization",Probability and Statistics
302,Outliers,"mathematics ,robustness ,statistics",Probability and Statistics
303,Quantiles,"mathematics ,robustness ,statistics",Probability and Statistics
304,Combining the Run and Mann-Whitney-Wilcoxon Tests,"mann ,mathematics ,robustness ,statistics ,whitney ,wilcoxon",Probability and Statistics
305,Bretagnolle and Massart''s Proof of the KMT Theorem for the Uniform Empirical Process,"mathematics ,robustness ,statistics ,uniform",Probability and Statistics
306,The Delta-Method and Asymptotics of some Estimators,"asymptotics ,mathematics ,robustness ,statistics",Probability and Statistics
307,Introduction to Robustness: Breakdown Points,"mathematics ,robustness ,statistics",Probability and Statistics
308,Breakdown Points of some 1-Dimensional Location Estimators,"mathematics ,robustness ,statistics",Probability and Statistics
309,M-estimators and their Consistency,"consistency ,mathematics ,robustness ,statistics",Probability and Statistics
310,The Spatial Median 2,"mathematics ,median ,robustness ,statistics",Probability and Statistics
311,Non-existence of some Affinely Equivariant Location Functionals in Dimension d>=2,"mathematics ,robustness ,statistics",Probability and Statistics
312,Location and Scatter Functionals,"mathematics ,robustness ,statistics",Probability and Statistics
313,Introduction to Statistics,"brain ,statistical ,statistics",Probability and Statistics
314,"Describing Data Graphs, Central Tendency, and Spread","brain ,data ,graphs ,spread ,statistical",Probability and Statistics
315,"Probability, I","brain ,probability ,statistical",Probability and Statistics
316,"Probability, II","brain ,probability ,statistical",Probability and Statistics
317,Random Variables,"policy ,quantitative ,random variables ,research ,variables",Probability and Statistics
318,Sampling Theory,"brain ,sampling ,sampling theory ,statistical ,theory",Probability and Statistics
319,Confidence Intervals,"analysis ,applications ,confidence ,confidence intervals ,data ,engineering ,environmental",Probability and Statistics
320,"Single-sample Hypothesis Testing, I","brain ,hypothesis testing ,sample ,statistical",Probability and Statistics
321,"Single-sample Hypothesis Testing, II","brain ,hypothesis testing ,sample ,statistical",Probability and Statistics
322,"Two-sample Hypothesis Testing, I","brain ,hypothesis testing ,sample ,statistical",Probability and Statistics
323,"Two-sample Hypothesis Testing, II","brain ,hypothesis testing ,sample ,statistical",Probability and Statistics
324,"Experimental Design, I","brain ,experimental ,experimental design ,statistical",Probability and Statistics
325,"Exam Review Experimental Design, II","brain ,experimental ,experimental design ,statistical",Probability and Statistics
326,"Experimental Design, II : Regression and Correlation, I ","brain ,correlation ,experimental ,experimental design ,regression ,statistical",Probability and Statistics
327,"Regression and Correlation, II","brain ,correlation ,regression ,statistical",Probability and Statistics
328,"Regression and Correlation, III","brain ,correlation ,regression ,statistical",Probability and Statistics
329,Chi-square Tests ,"brain ,statistical",Probability and Statistics
330,"One-way ANOVA, I ","anova ,brain ,statistical",Probability and Statistics
331,"One-way ANOVA, II","anova ,brain ,statistical",Probability and Statistics
332,"Two-way ANOVA, I","anova ,brain ,statistical",Probability and Statistics
333,"Two-way ANOVA, II","anova ,brain ,statistical",Probability and Statistics
334,Course overview; epistemological foundations; math review,"planning ,quantitative ,statistical",Probability and Statistics
335,What''s in a number?; basic numeracy; measurement,"measurement ,numeracy ,planning ,quantitative ,statistical",Probability and Statistics
336,Measures of variability,"planning ,quantitative ,statistical ,variability",Probability and Statistics
337,Exploratory data analysis and visualization,"analysis ,data ,data analysis ,exploratory data analysis ,planning ,quantitative ,statistical ,visualization",Probability and Statistics
338,Cross-tabulations;  ÃÂ2  tests,"planning ,quantitative ,statistical",Probability and Statistics
339,Scatterplots; correlation; cause and effect; confounding variables,"cause and effect ,confounding ,correlation ,effect ,planning ,quantitative ,statistical ,variables",Probability and Statistics
340,Simple regression,"planning ,quantitative ,regression ,simple regression ,statistical",Probability and Statistics
341,The assumptions of regression analysis,"analysis ,planning ,quantitative ,regression ,regression analysis ,statistical",Probability and Statistics
342,Review/slack; presentation and graphs,"graphs ,planning ,quantitative ,statistical",Probability and Statistics
343,Talking about money,"planning ,quantitative ,statistical",Probability and Statistics
344,Lattice plots,"planning ,quantitative ,statistical",Probability and Statistics
345,The Course at a Glance 1,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
346,The Course at a Glance 2,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
347,The Learning Problem in Perspective 1,"applications ,brain ,learning ,perspective ,statistical ,theory",Probability and Statistics
348,The Learning Problem in Perspective 2,"applications ,brain ,learning ,perspective ,statistical ,theory",Probability and Statistics
349,Reproducing Kernel Hilbert Spaces 1,"applications ,brain ,hilbert spaces ,kernel hilbert spaces ,learning ,statistical ,theory",Probability and Statistics
350,Reproducing Kernel Hilbert Spaces 2,"applications ,brain ,hilbert spaces ,kernel hilbert spaces ,learning ,statistical ,theory",Probability and Statistics
351,Regression and Least-Squares Classification 1,"applications ,brain ,classification ,learning ,least-squares ,regression ,statistical ,theory",Probability and Statistics
352,Regression and Least-Squares Classification 2,"applications ,brain ,classification ,learning ,least-squares ,regression ,statistical ,theory",Probability and Statistics
353,Support Vector Machines for Classification 1,"applications ,brain ,classification ,learning ,statistical ,support ,support vector machines ,theory ,vector",Probability and Statistics
354,Support Vector Machines for Classification 2,"applications ,brain ,classification ,learning ,statistical ,support ,support vector machines ,theory ,vector",Probability and Statistics
355,Manifold Regularization 1,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
356,Manifold Regularization 2,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
357,Unsupervised Learning Techniques 1,"applications ,brain ,learning ,statistical ,theory ,unsupervised learning",Probability and Statistics
358,Unsupervised Learning Techniques 2,"applications ,brain ,learning ,statistical ,theory ,unsupervised learning",Probability and Statistics
359,Multiclass 1,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
360,Multiclass 2,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
361,Ranking 1,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
362,Ranking 2,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
363,Boosting and Bagging 1,"applications ,bagging ,boosting ,brain ,learning ,statistical ,theory",Probability and Statistics
364,Boosting and Bagging 2,"applications ,bagging ,boosting ,brain ,learning ,statistical ,theory",Probability and Statistics
365,Online Learning 1,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
366,Online Learning 2,"applications ,brain ,learning ,statistical ,theory",Probability and Statistics
367,Generalization Bounds Introduction to Stability 1,"applications ,bounds ,brain ,generalization ,learning ,stability ,statistical ,theory",Probability and Statistics
368,Generalization Bounds Introduction to Stability 2,"applications ,bounds ,brain ,generalization ,learning ,stability ,statistical ,theory",Probability and Statistics
369,Stability of Tikhonov Regularization 1,"applications ,brain ,learning ,stability ,statistical ,theory",Probability and Statistics
370,Stability of Tikhonov Regularization 2,"applications ,brain ,learning ,stability ,statistical ,theory",Probability and Statistics
371,Uniform Convergence Over Function Classes 1,"applications ,brain ,function ,learning ,statistical ,theory ,uniform",Probability and Statistics
372,Uniform Convergence Over Function Classes 2,"applications ,brain ,function ,learning ,statistical ,theory ,uniform",Probability and Statistics
373,Uniform Convergence for Classification VC-dimension 1,"applications ,brain ,classification ,learning ,statistical ,theory ,uniform ,vc-dimension",Probability and Statistics
374,Uniform Convergence for Classification VC-dimension 2,"applications ,brain ,classification ,learning ,statistical ,theory ,uniform ,vc-dimension",Probability and Statistics
375,Neuroscience 1,"applications ,brain ,learning ,neuroscience ,statistical ,theory",Probability and Statistics
376,Neuroscience 2,"applications ,brain ,learning ,neuroscience ,statistical ,theory",Probability and Statistics
377,Active Learning,"active learning ,applications ,brain ,learning ,statistical ,theory",Probability and Statistics
378,Math Camp 1: Functional Analysis,"analysis ,applications ,brain ,learning ,statistical ,theory",Probability and Statistics
379,Math Camp 2: Probability Theory,"applications ,brain ,learning ,probability ,probability theory ,statistical ,theory",Probability and Statistics
380,Sets and events,"economics ,events ,sets ,statistical",Probability and Statistics
381,Probabilities and counting rules,"counting ,economics ,statistical",Probability and Statistics
382,Conditional probability and independence,"conditional ,conditional probability ,economics ,independence ,probability ,statistical",Probability and Statistics
383,Bayes theorem and random variables,"bayes ,bayes theorem ,economics ,random variables ,statistical ,variables",Probability and Statistics
384,Discrete and continuous random variables,"continuous random variables ,discrete ,economics ,random variables ,statistical ,variables",Probability and Statistics
385,"Probability distribution functions , joint distribution of 2 or more random variables","distribution ,distribution functions ,economics ,functions ,probability ,probability distribution ,random variables ,statistical ,variables",Probability and Statistics
386,Joint and marginal distributions,"distributions ,economics ,statistical",Probability and Statistics
387,Review,"economics ,statistical",Probability and Statistics
388,Functions of random variables,"economics ,functions ,random variables ,statistical ,variables",Probability and Statistics
389,Functions of several random variables  1,"economics ,functions ,random variables ,statistical ,variables",Probability and Statistics
390,Functions of several random variables  2,"economics ,functions ,random variables ,statistical ,variables",Probability and Statistics
391,Order statistics and expectations,"economics ,expectations ,statistical ,statistics",Probability and Statistics
392,"Median, quantiles, and variance","economics ,median ,statistical ,variance",Probability and Statistics
393,Covariance and conditional expectations,"conditional ,covariance ,economics ,expectations ,statistical",Probability and Statistics
394,Conditional expectations and special distributions,"conditional ,distributions ,economics ,expectations ,statistical",Probability and Statistics
395,Law of large numbers,"economics ,law ,law of large numbers ,statistical",Probability and Statistics
396,"Central limit theorem, estimators, bias, and consistency","central limit theorem ,consistency ,economics ,limit theorem ,statistical",Probability and Statistics
397,Constructing estimators,"economics ,statistical",Probability and Statistics
398,Confidence intervals 1,"confidence ,confidence intervals ,economics ,statistical",Probability and Statistics
399,Confidence intervals 2,"confidence ,confidence intervals ,economics ,statistical",Probability and Statistics
400,Probability Models and Axioms,"analysis ,axioms ,computer ,engineering ,models ,probability ,probability models",Probability and Statistics
401,Conditioning and Bayes'' Rule,"analysis ,bayes ,computer ,engineering ,probability",Probability and Statistics
402,Independence,mathematics,Probability and Statistics
403,Counting,probability,Probability and Statistics
404,Discrete Random Variables; Probability Mass Functions; Expectations,variables,Probability and Statistics
405,Discrete Random Variable Examples; Joint PMFs,"analysis ,computer ,discrete ,discrete random variable ,engineering ,probability ,random variable ,conditional ,expectation",Probability and Statistics
406,"Multiple Discrete Random Variables: Expectations, Conditioning, Independence",variables,Probability and Statistics
407,Continuous Random Variables,variables,Probability and Statistics
408,Multiple Continuous Random Variables,variables,Probability and Statistics
409,Continuous Bayes'' Rule; Derived Distributions,variables,Probability and Statistics
410,Derived Distributions; Convolution; Covariance and Correlation,variables,Probability and Statistics
411,Iterated Expectations; Sum of a Random Number of Random Variables,transforms,Probability and Statistics
412,Bernoulli Process,"analysis ,bernoulli ,bernoulli process ,computer ,engineering ,probability ,expectations",Probability and Statistics
413,Poisson Process - I,variables,Probability and Statistics
414,Poisson Process - II,"analysis ,computer ,engineering ,poisson ,poisson process ,probability ,correlation ,covariance ,prediction",Probability and Statistics
415,Markov Chains - I,"analysis ,computer ,engineering ,markov ,markov chains ,probability ,law ,law of large numbers",Probability and Statistics
416,Markov Chains - II,"analysis ,computer ,engineering ,markov ,markov chains ,probability ,bernoulli ,bernoulli process",Probability and Statistics
417,Markov Chains - III,poisson process,Probability and Statistics
418,Weak Law of Large Numbers,"analysis ,computer ,engineering ,law ,law of large numbers ,probability ,poisson ,poisson process",Probability and Statistics
419,Central Limit Theorem,"analysis ,central limit theorem ,computer ,engineering ,limit theorem ,probability ,markov ,markov chains",Probability and Statistics
420,Bayesian Statistical Inference - I,"analysis ,bayesian ,computer ,engineering ,inference ,probability ,statistical ,statistical inference ,markov ,markov chains",Probability and Statistics
421,Bayesian Statistical Inference - II,"analysis ,bayesian ,computer ,engineering ,inference ,probability ,statistical ,statistical inference ,markov ,markov chains",Probability and Statistics
422,Classical Statistical Inference - I,"analysis ,computer ,engineering ,inference ,probability ,statistical ,statistical inference ,central limit theorem ,limit theorem",Probability and Statistics
423,Classical Inference - II,"analysis ,computer ,engineering ,inference ,probability ,central limit theorem ,law ,law of large numbers ,limit theorem",Probability and Statistics
424,Classical Inference - III,"analysis ,computer ,engineering ,inference ,probability",Probability and Statistics
425,Introduction and overview,"data ,engineering ,inference ,models",Probability and Statistics
426,3-door problem 2,"data ,engineering ,inference ,models",Probability and Statistics
427,Analyzing a probability problem,"data ,engineering ,inference ,models ,probability",Probability and Statistics
428,Broken stick problem,"data ,engineering ,inference ,models",Probability and Statistics
429,Pedestrian crossing problem,"data ,engineering ,inference ,models",Probability and Statistics
430,Random incidence: A major source of selection bias,"data ,engineering ,inference ,models ,selection",Probability and Statistics
431,Random incidence and more,"data ,engineering ,inference ,models",Probability and Statistics
432,Spatial models,"data ,engineering ,inference ,models ,spatial models",Probability and Statistics
433,"Markov processes and their application to queueing, part 1","data ,engineering ,inference ,markov ,markov processes ,models ,queueing",Probability and Statistics
434,"Markov processes and their application to queueing, part 2","data ,engineering ,inference ,markov ,markov processes ,models ,queueing",Probability and Statistics
435,"Queueing and transitions: Sampling from distributions, Gauss","data ,distributions ,engineering ,gauss ,inference ,models ,queueing ,sampling",Probability and Statistics
436,Derived distributions to statistics,"data ,distributions ,engineering ,inference ,models ,statistics",Probability and Statistics
437,The Queue Inference Engine and the psychology of queueing,"data ,engineering ,inference ,models ,psychology ,queueing",Probability and Statistics
438,Beyond the physics of queueing,"data ,engineering ,inference ,models ,physics ,queueing",Probability and Statistics
439,The Weibull distribution and parameter estimation,"data ,distribution ,engineering ,estimation ,inference ,models ,parameter ,parameter estimation ,weibull ,weibull distribution",Probability and Statistics
440,Hypothesis testing,"data ,engineering ,hypothesis testing ,inference ,models",Probability and Statistics
441,Descriptive statistics and statistical graphics,"data ,descriptive statistics ,engineering ,inference ,models ,statistical ,statistics",Probability and Statistics
442,Regression,"data ,engineering ,inference ,models ,regression",Probability and Statistics
443,"Analysis of variance, with discussion of Bayesian and frequentist statistics","analysis ,analysis of variance ,bayesian ,data ,engineering ,inference ,models ,statistics ,variance",Probability and Statistics
444,Multiple regression,"multiple regression ,regression",Probability and Statistics
445,Design of computer experiments,"data ,design of experiments ,engineering ,inference ,models",Probability and Statistics
446,Introduction,research,Probability and Statistics
447,Math Review,"policy ,quantitative ,research",Probability and Statistics
448,Statistical Modelling,"modelling ,policy ,quantitative ,research ,statistical",Probability and Statistics
449,Introduction Ã¢ÂÂ processes and variation framework,"control ,engineering ,mechanical",Probability and Statistics
450,"Probability models, parameter estimation, and sampling","control ,engineering ,estimation ,kurtosis ,mechanical ,models ,parameter ,parameter estimation ,probability ,probability models ,sampling",Probability and Statistics
451,Nested variance components,"control ,engineering ,mechanical ,variance",Probability and Statistics
452,Case study 1: tungsten CVD DOE/RSM,"control ,engineering ,mechanical",Probability and Statistics
453,Matrix Algebra,research,Probability and Statistics
454,Regression Model,"model ,multivariate ,quantitative ,regression ,research",Probability and Statistics
455,Nonlinear Models,research,Probability and Statistics
456,Sensitivity and Weights,research,Probability and Statistics
457,Panel Models,research,Probability and Statistics
458,Systems of Equations,research,Probability and Statistics
459,Arbitrage-free pricing models,"finance ,management ,models ,pricing",Probability and Statistics
460,Stochastic calculus and option pricing Code: Quadratic variation simulation,"calculus ,finance ,management ,pricing ,simulation ,stochastic ,stochastic calculus",Probability and Statistics
461,"Simulation methods Code: Black-Scholes model Monte Carlo illustration Code: Black-Scholes with a jump Monte Carlo (PS1, Q2) Code: Monte Carlo with control variates, stochastic volatility model","black-scholes model ,control ,finance ,management ,model ,simulation ,stochastic",Probability and Statistics
462,Dynamic portfolio choice I: Static approach to dynamic portfolio choice,"finance ,management",Probability and Statistics
463,Dynamic portfolio choice II: Dynamic programming,"dynamic programming ,finance ,management ,programming",Probability and Statistics
464,Dynamic portfolio choice III: Numerical approximations in dynamic programming Code: Numerical DP solution,"dynamic programming ,finance ,management ,programming",Probability and Statistics
465,Parameter estimation,parameter estimation,Probability and Statistics
466,Standard errors and tests,standard errors,Probability and Statistics
467,Small-sample inference and bootstrap,"bootstrap ,finance ,inference ,management ,sample",Probability and Statistics
468,Volatility models,models,Probability and Statistics
469,Review: Arbitrage-free pricing and stochastic calculus,"calculus ,finance ,management ,pricing ,stochastic ,stochastic calculus",Probability and Statistics
470,Review: DP and econometrics,"econometrics ,finance ,management",Probability and Statistics
471,Events and their probability,"engineering ,environmental ,events ,probability ,uncertainty",Probability and Statistics
472,Random variables: discrete distributions,"discrete ,distributions ,engineering ,environmental ,random variables ,uncertainty ,variables",Probability and Statistics
473,Random variables: continuous distributions,"distributions ,engineering ,environmental ,random variables ,uncertainty ,variables",Probability and Statistics
474,Random vectors,"engineering ,environmental ,random vectors ,uncertainty ,vectors",Probability and Statistics
475,Functions of random variables and vectors,"engineering ,environmental ,functions ,random variables ,random variables and vectors ,uncertainty ,variables ,vectors",Probability and Statistics
476,Second-moment characterization of random variables and vectors; second-moment (SM) and first-order second-moment (FOSM) propagation of uncertainty,"engineering ,environmental ,first ,random variables ,random variables and vectors ,second ,uncertainty ,variables ,vectors",Probability and Statistics
477,Conditional second-moment analysis,"analysis ,conditional ,engineering ,environmental ,second ,second-moment analysis ,uncertainty",Probability and Statistics
478,Selected distribution models,"distribution ,engineering ,environmental ,models ,uncertainty",Probability and Statistics
479,Point and interval estimation of distribution parameters,"distribution ,engineering ,environmental ,estimation ,estimation of distribution parameters ,interval estimation ,uncertainty",Probability and Statistics
480,Course Introduction,"analysis ,applications ,data ,engineering ,environmental",Probability and Statistics
481,Descriptive Statistics,"analysis ,applications ,data ,descriptive statistics ,engineering ,environmental ,statistics",Probability and Statistics
482,Probablility,"analysis ,applications ,data ,engineering ,environmental",Probability and Statistics
483,"Joint Probability, Independence, Repeated Trials","analysis ,applications ,data ,engineering ,environmental ,independence ,probability",Probability and Statistics
484,Combinatorial Methods for Deriving Probabilities 1,"analysis ,applications ,data ,engineering ,environmental",Probability and Statistics
485,Combinatorial Methods for Deriving Probabilities 2,"analysis ,applications ,data ,engineering ,environmental",Probability and Statistics
486,Conditional Probability and Baye''s Theorem,"analysis ,applications ,conditional ,conditional probability ,data ,engineering ,environmental ,probability",Probability and Statistics
487,Random Variables and Probability Distributions,"analysis ,applications ,data ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,variables",Probability and Statistics
488,"Expectation, Functions of a Random Variable","analysis ,applications ,data ,engineering ,environmental ,expectation ,functions ,functions of a random variable ,random variable",Probability and Statistics
489,Some Common Probability Distributions,"analysis ,applications ,data ,distributions ,engineering ,environmental ,probability ,probability distributions",Probability and Statistics
490,Multivariate Probability,"analysis ,applications ,data ,engineering ,environmental ,multivariate ,probability",Probability and Statistics
491,Populations and Samples,"analysis ,applications ,data ,engineering ,environmental",Probability and Statistics
492,Estimation,"analysis ,applications ,data ,engineering ,environmental ,estimation",Probability and Statistics
493,Testing Hypotheses about a Single Population,"analysis ,applications ,data ,engineering ,environmental ,population",Probability and Statistics
494,Testing Hypotheses about Two Populations,"analysis ,applications ,data ,engineering ,environmental",Probability and Statistics
495,Small Sample Statistics,"analysis ,applications ,data ,engineering ,environmental ,sample ,statistics",Probability and Statistics
496,Analysis of Variance (contd.) ,"analysis ,analysis of variance ,applications ,data ,engineering ,environmental ,variance",Probability and Statistics
497,Analyzing Regression Results,"analysis ,applications ,data ,engineering ,environmental ,linear ,linear regression ,regression",Probability and Statistics
498,I.1 Events and Boolean Operations I.2 Event Sequence Identification (Failure Modes and Effects Analysis; Hazard and Operability Analysis; Fault Tree Analysis; Event Tree Analysis) I.3 Coherent Structure Functions I.4 Minimal Cut (Path) Sets 1,"analysis ,applications ,control ,engineering ,event ,event tree analysis ,events ,failure ,fault tree analysis ,functions ,hazard ,identification ,nuclear ,operations ,probability ,reliability ,risk ,sequence ,sets ,structure",Probability and Statistics
499,I.1 Events and Boolean Operations I.2 Event Sequence Identification (Failure Modes and Effects Analysis; Hazard and Operability Analysis; Fault Tree Analysis; Event Tree Analysis) I.3 Coherent Structure Functions I.4 Minimal Cut (Path) Sets 2,"analysis ,applications ,control ,engineering ,event ,event tree analysis ,events ,failure ,fault tree analysis ,functions ,hazard ,identification ,nuclear ,operations ,probability ,reliability ,risk ,sequence ,sets ,structure",Probability and Statistics
500,I.1 Events and Boolean Operations I.2 Event Sequence Identification (Failure Modes and Effects Analysis; Hazard and Operability Analysis; Fault Tree Analysis; Event Tree Analysis) I.3 Coherent Structure Functions I.4 Minimal Cut (Path) Sets 3,"analysis ,applications ,control ,engineering ,event ,event tree analysis ,events ,failure ,fault tree analysis ,functions ,hazard ,identification ,nuclear ,operations ,probability ,reliability ,risk ,sequence ,sets ,structure",Probability and Statistics
501,I.1 Events and Boolean Operations I.2 Event Sequence Identification (Failure Modes and Effects Analysis; Hazard and Operability Analysis; Fault Tree Analysis; Event Tree Analysis) I.3 Coherent Structure Functions I.4 Minimal Cut (Path) Sets 4,"analysis ,applications ,control ,engineering ,event ,event tree analysis ,events ,failure ,fault tree analysis ,functions ,hazard ,identification ,nuclear ,operations ,probability ,reliability ,risk ,sequence ,sets ,structure",Probability and Statistics
502,IV.1 Bernoulli Trials and the Binomial Distribution IV.2 The Poisson Distribution IV.3 The Exponential Distribution IV.4 The Normal and Lognormal Distributions IV.5 The Concept of Correlation 1,"applications ,bernoulli ,bernoulli trials ,binomial ,binomial distribution ,control ,correlation ,distribution ,distributions ,engineering ,exponential ,exponential distribution ,normal ,nuclear ,poisson ,poisson distribution ,probability ,reliability ,risk",Probability and Statistics
503,IV.1 Bernoulli Trials and the Binomial Distribution IV.2 The Poisson Distribution IV.3 The Exponential Distribution IV.4 The Normal and Lognormal Distributions IV.5 The Concept of Correlation 2,"applications ,bernoulli ,bernoulli trials ,binomial ,binomial distribution ,control ,correlation ,distribution ,distributions ,engineering ,exponential ,exponential distribution ,normal ,nuclear ,poisson ,poisson distribution ,probability ,reliability ,risk",Probability and Statistics
504,IV.1 Bernoulli Trials and the Binomial Distribution IV.2 The Poisson Distribution IV.3 The Exponential Distribution IV.4 The Normal and Lognormal Distributions IV.5 The Concept of Correlation 3,"applications ,bernoulli ,bernoulli trials ,binomial ,binomial distribution ,control ,correlation ,distribution ,distributions ,engineering ,exponential ,exponential distribution ,normal ,nuclear ,poisson ,poisson distribution ,probability ,reliability ,risk",Probability and Statistics
505,IV.1 Bernoulli Trials and the Binomial Distribution IV.2 The Poisson Distribution IV.3 The Exponential Distribution IV.4 The Normal and Lognormal Distributions IV.5 The Concept of Correlation 4,"applications ,bernoulli ,bernoulli trials ,binomial ,binomial distribution ,control ,correlation ,distribution ,distributions ,engineering ,exponential ,exponential distribution ,normal ,nuclear ,poisson ,poisson distribution ,probability ,reliability ,risk",Probability and Statistics
506,IX.1 Simple Logical Configurations (Series; Parallel; Standby Redundancy) IX.2 Complex Systems IX.3 Stress-Strength Interference Theory IX.4 Modeling of Loads and Strength IX.5 Reliability-Based Design IX.6 Elementary Markov Models 1,"applications ,control ,engineering ,markov ,markov models ,modeling ,models ,nuclear ,probability ,reliability ,risk ,theory",Probability and Statistics
507,IX.1 Simple Logical Configurations (Series; Parallel; Standby Redundancy) IX.2 Complex Systems IX.3 Stress-Strength Interference Theory IX.4 Modeling of Loads and Strength IX.5 Reliability-Based Design IX.6 Elementary Markov Models 2,"applications ,control ,engineering ,markov ,markov models ,modeling ,models ,nuclear ,probability ,reliability ,risk ,theory",Probability and Statistics
508,IX.1 Simple Logical Configurations (Series; Parallel; Standby Redundancy) IX.2 Complex Systems IX.3 Stress-Strength Interference Theory IX.4 Modeling of Loads and Strength IX.5 Reliability-Based Design IX.6 Elementary Markov Models 3,"applications ,control ,engineering ,markov ,markov models ,modeling ,models ,nuclear ,probability ,reliability ,risk ,theory",Probability and Statistics
509,X.1 Bayes'' Theorem and Inference X.2 Conjugate Families of Distributions X.3 Comparison with Frequentist Statistics X.4 Elicitation and Utilization of Expert Opinions 1,"applications ,bayes ,bayes' theorem ,control ,distributions ,engineering ,inference ,nuclear ,probability ,reliability ,risk ,statistics",Probability and Statistics
510,X.1 Bayes'' Theorem and Inference X.2 Conjugate Families of Distributions X.3 Comparison with Frequentist Statistics X.4 Elicitation and Utilization of Expert Opinions 2,"applications ,bayes ,bayes' theorem ,control ,distributions ,engineering ,inference ,nuclear ,probability ,reliability ,risk ,statistics",Probability and Statistics
511,Using MATLAB® to evaluate and plot expressions,engineering,Probability and Statistics
512,Solving systems of linear equations,"engineering ,linear",Probability and Statistics
513,Matrix factorization Modularization,engineering,Probability and Statistics
514,"When algorithms run into problems: Numerical error, ill-conditioning, and tolerances","algorithms ,engineering",Probability and Statistics
515,Introduction to systems of nonlinear equations,"engineering ,nonlinear",Probability and Statistics
516,Modern methods for solving nonlinear equations,"engineering ,nonlinear",Probability and Statistics
